Naziv kompanije,PIB,Matični broj,CRPS Status,Promet 2024,Profit,Broj zaposlenih,Grad,Adresa,Datum osnivanja,Ukupna aktiva
BREVI,02337843,50061683,Aktivan,11613993,267432,23,,,2002-08-09,2500639
DŽEK POT,02219603,50028364,Aktivan,12149796,-1454826,19,,,2002-07-31,4568226
GENEX PG DOO,03499782,51089110,Aktivan,11403534,-1073127,567,,,2022-11-24,2646300
MOZURA WIND PARK,02724391,50483964,Aktivan,11404939,161374,3,,,2008-07-22,70841231
"MEDICA D.O.O. ZA PROIZVODNJU, TRGOVINU NA VELIKO I MALO, EXPORT - IMPORT PODGORICA",02171058,50017894,Aktivan,11378234,528672,11,,,2002-07-30,4593369
PANEVIVO,02762404,50541370,Aktivan,11903564,1647217,281,,,2009-07-30,4186107
ACTON DOO,02896257,50639387,Aktivan,11249368,1341005,10,,,2012-08-27,9882255
MATINO-COMPANY,02298007,50024650,Aktivan,11184363,1167388,58,,,2002-07-31,10430431
AUTOVENTURA,02428768,50246600,Aktivan,11136616,307512,4,,,2005-04-25,2681807
EWE MONTENEGRO,03059812,50738166,Aktivan,11196445,475968,15,,,2015-08-14,4642185
ZETA-MINE,03267458,50893387,Aktivan,10975079,1319888,62,,,2019-06-17,5685526
MERIT MONTENEGRO,03075958,50751099,Aktivan,12206763,5057458,1,,,2016-01-22,44564088
NEW YORKER MONTENEGRO,02778343,50567602,Aktivan,11008772,2266684,76,,,2010-02-03,5414826
SPORTING GROUP,02314266,50154501,Aktivan,10968354,3185361,263,,,2002-08-13,17159929
CABRIO,02279223,50133601,Aktivan,10853256,25023,34,,,2002-08-14,7276339
PM HOTELS,02790220,50579447,Aktivan,10841984,104053,152,,,2010-05-24,20187912
DEC INTERNATIONAL PLJEVLJA,03318206,60014288,Aktivan,10745931,-668640,8,,,2020-07-21,25227482
COINIS,03014215,50708966,Aktivan,10792220,3124570,92,,,2014-10-16,15716446
VOLI MOTORS,02846187,50609656,Aktivan,10603223,682189,21,,,2011-07-05,4045462
ROMA COMPANY,02740338,50508544,Aktivan,11489536,537902,19,,,2008-12-11,4926255
NEMESIS,02636603,50337961,Aktivan,10634731,481180,265,,,2006-12-06,14753984
RECREATOURS AD BEOGRAD-DIO STRANOG DRUŠTVA BISERNA OBALA ČANJ - BAR,02672227,60002333,Aktivan,10584284,5277655,93,,,2003-03-10,38985991
PODRAVKA,02355388,50072024,Aktivan,10629409,371652,36,,,2002-09-02,2969957
KOPRIVICA ROSOL COMERC,02302128,50025900,Aktivan,10940978,337916,28,,,2002-07-31,4035241
KALLABA COMPANY,02231492,50052264,Aktivan,10506317,403982,63,,,2002-08-07,6731263
HOTEL CRNA GORA DOO PODGORICA,02820331,50596800,Aktivan,11189843,2013550,175,,,2011-02-03,45026031
